"id_nf","produto_id","pedido_id","quantidade","valor_unitario","valor_total","estado","frete"
"1","41518","341","3","260","780","BR-BA","156"
"2","4307","1174","5","6175","30875","BR-RJ","6175"
"3","22407","1399","3","200","600","BR-PB","120"
"4","3820","1652","6","139","834","BR-DF","167"
"5","29012","2470","3","525","1575","BR-BA","315"
"6","72621","2980","3","179","537","BR-MG","107"
"7","86243","3443","4","350","1400","BR-PR","280"
"8","29012","3557","5","525","2625","BR-MS","525"
"9","61071","3585","3","450","1350","BR-SP","270"
"10","100961","3687","2","480","960","BR-GO","192"
"11","45695","3722","5","240","1200","BR-AM","240"
"12","59337","3870","5","390","1950","BR-CE","390"
"13","79079","4004","4","320","1280","BR-RS","256"
"14","27336","4471","2","250","500","BR-AC","100"
"15","60010","5347","1","90","90","BR-RO","18"
"16","56571","6129","5","420","2100","BR-DF","420"
"17","3820","6355","4","139","556","BR-BA","111"
"18","40508","7562","2","245","490","BR-MT","98"
"19","57708","8077","4","990","3960","BR-CE","792"
"20","17329","9626","6","590","3540","BR-CE","708"
"21","43888","10557","1","190","190","BR-DF","38"
"22","12609","10809","5","320","1600","BR-BA","320"
"23","62594","11320","1","300","300","BR-RR","60"
"24","100481","12119","1","410","410","BR-CE","82"
"25","6888","12392","3","350","1050","BR-PE","210"
"26","70813","13009","5","120","600","BR-PR","120"
"27","14420","13550","2","690","1380","BR-MA","276"
"28","31651","13792","3","180","540","BR-PE","108"
"29","75706","15194","5","100","500","BR-RS","100"
"30","31835","15954","2","399","798","BR-DF","160"
"31","17258","16179","6","420","2520","BR-PA","504"
"32","77558","16504","5","790","3950","BR-AM","790"
"33","41189","16637","5","160","800","BR-MS","160"
"34","31651","16781","4","180","720","BR-MS","144"
"35","4553","16923","2","110","220","BR-BA","44"
"36","53458","17133","6","450","2700","BR-PR","540"
"37","89334","18674","3","350","1050","BR-MG","210"
"38","75706","18823","6","100","600","BR-PR","120"
"39","57696","19040","6","410","2460","BR-PE","492"
"40","27546","19990","5","336","1680","BR-MS","336"
"41","49497","21708","5","320","1600","BR-SC","320"
"42","14420","21847","2","690","1380","BR-GO","276"
"43","4553","21923","2","110","220","BR-SP","44"
"44","6137","23640","5","100","500","BR-MT","100"
"45","51238","23788","6","410","2460","BR-PR","492"
"46","98640","23813","2","990","1980","BR-SE","396"
"47","86845","24839","6","110","660","BR-SC","132"
"48","83795","24977","1","310","310","BR-TO","62"
"49","14836","25911","1","1100","1100","BR-PA","220"
"50","27546","26372","6","336","2016","BR-MG","403"
"51","27546","27529","5","336","1680","BR-AP","336"
"52","5995","27554","3","398","1194","BR-PR","239"
"53","22407","28549","1","200","200","BR-MA","40"
"54","83009","28987","2","280","560","BR-RJ","112"
"55","74864","31305","5","130","650","BR-PA","130"
"56","61356","31814","6","390","2340","BR-AM","468"
"57","93262","32635","6","450","2700","BR-BA","540"
"58","75706","32705","3","100","300","BR-PI","60"
"59","17990","33370","6","3800","22800","BR-SE","4560"
"60","21244","34970","4","1120","4480","BR-MT","896"
"61","86544","35238","6","50","300","BR-RO","60"
"62","61356","35535","4","390","1560","BR-RO","312"
"63","18128","36109","3","795","2385","BR-CE","477"
"64","13906","36267","6","340","2040","BR-AP","408"
"65","13906","36626","2","340","680","BR-PB","136"
"66","57696","37202","5","410","2050","BR-SC","410"
"67","7193","37450","3","320","960","BR-PE","192"
"68","17329","39103","3","590","1770","BR-MS","354"
"69","45979","39279","1","280","280","BR-CE","56"
"70","71770","39502","2","530","1060","BR-CE","212"
"71","61356","39834","1","390","390","BR-SP","78"
"72","4835","40610","4","560","2240","BR-PA","448"
"73","74864","42139","5","130","650","BR-GO","130"
"74","12895","42363","6","2600","15600","BR-PR","3120"
"75","19432","42734","2","190","380","BR-AM","76"
"76","37384","42852","3","700","2100","BR-MA","420"
"77","80644","42990","4","990","3960","BR-CE","792"
"78","5995","43127","6","398","2388","BR-AC","478"
"79","51238","43308","6","410","2460","BR-BA","492"
"80","33976","45501","4","120","480","BR-RS","96"
"81","29510","45768","1","360","360","BR-PA","72"
"82","8707","45940","1","150","150","BR-MS","30"
"83","8673","46083","6","490","2940","BR-SP","588"
"84","75706","46133","6","100","600","BR-PA","120"
"85","13814","46161","4","550","2200","BR-MS","440"
"86","12895","47817","3","2600","7800","BR-MG","1560"
"87","53941","48064","6","280","1680","BR-MG","336"
"88","65473","48191","3","210","630","BR-MA","126"
"89","89334","48306","1","350","350","BR-AC","70"
"90","28699","48400","5","420","2100","BR-DF","420"
"91","8673","48442","5","490","2450","BR-SC","490"
"92","44424","49448","4","360","1440","BR-BA","288"
"93","18212","49523","2","120","240","BR-ES","48"
"94","54794","51015","4","350","1400","BR-BA","280"
"95","67445","51499","6","320","1920","BR-PR","384"
"96","44379","51696","3","165","495","BR-PR","99"
"97","11736","54138","6","740","4440","BR-AL","888"
"98","8707","54407","5","150","750","BR-PB","150"
"99","41262","54781","2","390","780","BR-RJ","156"
"100","72621","54993","2","179","358","BR-PE","72"
"101","60010","55140","1","90","90","BR-RJ","18"
"102","67445","56505","3","320","960","BR-RS","192"
"103","39814","56522","1","390","390","BR-RJ","78"
"104","48872","57546","1","120","120","BR-SE","24"
"105","7940","58949","5","1200","6000","BR-DF","1200"
"106","17329","59083","4","590","2360","BR-RO","472"
"107","21516","59833","5","320","1600","BR-BA","320"
"108","84176","60843","3","310","930","BR-GO","186"
"109","70673","60947","2","210","420","BR-SP","84"
"110","84176","61492","4","310","1240","BR-MG","248"
"111","13814","61672","6","550","3300","BR-DF","660"
"112","10795","61962","5","300","1500","BR-MT","300"
"113","100484","62835","5","320","1600","BR-PR","320"
"114","72621","63127","1","179","179","BR-SC","36"
"115","9397","65152","6","345","2070","BR-MT","414"
"116","31835","65613","1","399","399","BR-SE","80"
"117","91248","65616","5","45","225","BR-BA","45"
"118","83792","66697","1","390","390","BR-RR","78"
"119","71946","69499","3","290","870","BR-AM","174"
"120","89334","71163","4","350","1400","BR-PA","280"
"121","53138","72042","6","690","4140","BR-DF","828"
"122","33349","72918","1","270","270","BR-SP","54"
"123","32986","73039","3","315","945","BR-RN","189"
"124","24159","73364","1","270","270","BR-AM","54"
"125","66539","73934","6","399","2394","BR-SP","479"
"126","35129","75193","5","320","1600","BR-MS","320"
"127","84743","75489","1","120","120","BR-SE","24"
"128","79551","75926","3","290","870","BR-AM","174"
"129","37794","76642","2","105","210","BR-AM","42"
"130","56380","76691","2","179","358","BR-TO","72"
"131","93262","76832","2","450","900","BR-MA","180"
"132","4835","77086","5","560","2800","BR-SC","560"
"133","21516","77813","3","320","960","BR-BA","192"
